SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,ComputeType,ML Activity,Region Code,serviceName
23GAWPKXBA8HPPVA,JRTCKXETXF,23GAWPKXBA8HPPVA.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.8430000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M6I_8XLARGE,CreateTrainedModel,,Training-ML_M6I_8XLARGE,us-east-1,AWS Clean Rooms
2499K7KNM68988NF,JRTCKXETXF,2499K7KNM68988NF.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.3020000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_R5_XLARGE,CreateTrainedModel,,Training-ML_R5_XLARGE,us-east-1,AWS Clean Rooms
297ND7DD24AFVZ26,JRTCKXETXF,297ND7DD24AFVZ26.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per 1,000 profiles,2025-03-01,0,Inf,Profiles,0.0000400000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-CreateAudienceModel,CreateAudienceModel,,Training,us-east-1,AWS Clean Rooms
2B488S3ZKBK343TE,JRTCKXETXF,2B488S3ZKBK343TE.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.6320000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_8XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_8XLARGE,us-east-1,AWS Clean Rooms
2QN29U2QFV8HNVQZ,JRTCKXETXF,2QN29U2QFV8HNVQZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,14.6880000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_P3_8XLARGE,StartTrainedModelInferenceJob,,Inference-ML_P3_8XLARGE,us-east-1,AWS Clean Rooms
2UB5396KSZVAG8JH,JRTCKXETXF,2UB5396KSZVAG8JH.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8160000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_4XLARGE,us-east-1,AWS Clean Rooms
38R3YK2KUABP3KQB,JRTCKXETXF,38R3YK2KUABP3KQB.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,14.6880000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_P3_8XLARGE,CreateTrainedModel,,Training-ML_P3_8XLARGE,us-east-1,AWS Clean Rooms
3AWJDX76CJYYFD4P,JRTCKXETXF,3AWJDX76CJYYFD4P.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.3990000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_T3_2XLARGE,CreateTrainedModel,,Training-ML_T3_2XLARGE,us-east-1,AWS Clean Rooms
3ERMTAJVZGGC9ZBW,JRTCKXETXF,3ERMTAJVZGGC9ZBW.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,2.0300000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G5_4XLARGE,CreateTrainedModel,,Training-ML_G5_4XLARGE,us-east-1,AWS Clean Rooms
3G8R8F6V8HTY27EX,JRTCKXETXF,3G8R8F6V8HTY27EX.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9400000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_G4DN_2XLARGE,StartTrainedModelInferenceJob,,Inference-ML_G4DN_2XLARGE,us-east-1,AWS Clean Rooms
3KVQV6NM3ZA44ZSC,JRTCKXETXF,3KVQV6NM3ZA44ZSC.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,11.6120000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_48XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_48XLARGE,us-east-1,AWS Clean Rooms
3MVW7CF4DCDCRD5V,JRTCKXETXF,3MVW7CF4DCDCRD5V.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.7360000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_G4DN_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_G4DN_XLARGE,us-east-1,AWS Clean Rooms
3NDSR2CWD338BVR8,JRTCKXETXF,3NDSR2CWD338BVR8.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9220000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M5_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M5_4XLARGE,us-east-1,AWS Clean Rooms
3UTFVX48F5EYNBJG,JRTCKXETXF,3UTFVX48F5EYNBJG.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2040000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_XLARGE,us-east-1,AWS Clean Rooms
3UZ3FGFP92ZCX89X,JRTCKXETXF,3UZ3FGFP92ZCX89X.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.1000000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_T3_LARGE,CreateTrainedModel,,Training-ML_T3_LARGE,us-east-1,AWS Clean Rooms
3ZPSUE32XMUDQ5B4,JRTCKXETXF,3ZPSUE32XMUDQ5B4.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,4.8960000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_24XLARGE,CreateTrainedModel,,Training-ML_C6I_24XLARGE,us-east-1,AWS Clean Rooms
43S9RG7ZWHEN3TSD,JRTCKXETXF,43S9RG7ZWHEN3TSD.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,3.6860000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M6I_16XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M6I_16XLARGE,us-east-1,AWS Clean Rooms
455UTUFSX8AAPD6F,JRTCKXETXF,455UTUFSX8AAPD6F.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,5.1200000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G5_16XLARGE,CreateTrainedModel,,Training-ML_G5_16XLARGE,us-east-1,AWS Clean Rooms
4DHVT77UV8624TUE,JRTCKXETXF,4DHVT77UV8624TUE.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4080000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_2XLARGE,CreateTrainedModel,,Training-ML_C6I_2XLARGE,us-east-1,AWS Clean Rooms
4F5K33VZ7QXBQDZK,JRTCKXETXF,4F5K33VZ7QXBQDZK.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.1250000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_P2_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_P2_XLARGE,us-east-1,AWS Clean Rooms
4S6FXRKGE9JMTBT6,JRTCKXETXF,4S6FXRKGE9JMTBT6.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,5.4400000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G4DN_16XLARGE,CreateTrainedModel,,Training-ML_G4DN_16XLARGE,us-east-1,AWS Clean Rooms
4YH33MZ9NBDM9TPC,JRTCKXETXF,4YH33MZ9NBDM9TPC.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2590000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C5N_XLARGE,CreateTrainedModel,,Training-ML_C5N_XLARGE,us-east-1,AWS Clean Rooms
52EFMXFUBU4WH5A6,JRTCKXETXF,52EFMXFUBU4WH5A6.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,5.8060000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_24XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_24XLARGE,us-east-1,AWS Clean Rooms
56K6A52V4G2RFH67,JRTCKXETXF,56K6A52V4G2RFH67.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,3.2640000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_16XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_16XLARGE,us-east-1,AWS Clean Rooms
57FT48ZPUA28MDX3,JRTCKXETXF,57FT48ZPUA28MDX3.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.6320000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_8XLARGE,CreateTrainedModel,,Training-ML_C6I_8XLARGE,us-east-1,AWS Clean Rooms
584FCK89FC9TEW26,JRTCKXETXF,584FCK89FC9TEW26.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,2.9030000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_12XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_12XLARGE,us-east-1,AWS Clean Rooms
5AG8X94DJYV53XPK,JRTCKXETXF,5AG8X94DJYV53XPK.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.3460000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_R5D_XLARGE,CreateTrainedModel,,Training-ML_R5D_XLARGE,us-east-1,AWS Clean Rooms
5CE9ASZ6NBHRJ2TQ,JRTCKXETXF,5CE9ASZ6NBHRJ2TQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9550000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C4_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C4_4XLARGE,us-east-1,AWS Clean Rooms
5Q6NYU9CQMKG6WBC,JRTCKXETXF,5Q6NYU9CQMKG6WBC.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,3.6720000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C5_18XLARGE,CreateTrainedModel,,Training-ML_C5_18XLARGE,us-east-1,AWS Clean Rooms
5RY44CMYA5MFTF95,JRTCKXETXF,5RY44CMYA5MFTF95.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,2.7650000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M5_12XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M5_12XLARGE,us-east-1,AWS Clean Rooms
5TB6A7UHR5CXFHHN,JRTCKXETXF,5TB6A7UHR5CXFHHN.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4280000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_2XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_2XLARGE,us-east-1,AWS Clean Rooms
5TDNQUHCGPF3JS65,JRTCKXETXF,5TDNQUHCGPF3JS65.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.7140000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_8XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_8XLARGE,us-east-1,AWS Clean Rooms
6G8QD4YDW3P3AYCG,JRTCKXETXF,6G8QD4YDW3P3AYCG.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,7.0900000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G5_12XLARGE,CreateTrainedModel,,Training-ML_G5_12XLARGE,us-east-1,AWS Clean Rooms
6GAA9QBUHVF2ZQ4X,JRTCKXETXF,6GAA9QBUHVF2ZQ4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,28.1520000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_P3_16XLARGE,StartTrainedModelInferenceJob,,Inference-ML_P3_16XLARGE,us-east-1,AWS Clean Rooms
6VKHUKMMQEMXPFDU,JRTCKXETXF,6VKHUKMMQEMXPFDU.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,5.1410000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C7I_24XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C7I_24XLARGE,us-east-1,AWS Clean Rooms
72EFQP67T6RYQ69N,JRTCKXETXF,72EFQP67T6RYQ69N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.00 per CRPU-Hr for CleanRooms-SQL-Compute:RunCustomSQLAnalysis in US East (N. Virginia),2025-03-01,0,Inf,CRPU-Hr,2.0000000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-CleanRooms-SQL-Compute,RunCustomSQLAnalysis,CustomSQL,,us-east-1,AWS Clean Rooms
7V4XPVRKFVH2GPX8,JRTCKXETXF,7V4XPVRKFVH2GPX8.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.2420000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_XLARGE,us-east-1,AWS Clean Rooms
7VKNZH32EV5FHXFK,JRTCKXETXF,7VKNZH32EV5FHXFK.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4610000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M5_2XLARGE,CreateTrainedModel,,Training-ML_M5_2XLARGE,us-east-1,AWS Clean Rooms
7WBCMVGPDZ6AC6NR,JRTCKXETXF,7WBCMVGPDZ6AC6NR.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8160000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_C6I_4XLARGE,CreateTrainedModel,,Training-ML_C6I_4XLARGE,us-east-1,AWS Clean Rooms
86KKBR7Z8CXM4S9G,JRTCKXETXF,86KKBR7Z8CXM4S9G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per 1,000 profiles,2025-03-01,0,Inf,Profiles,0.0002500000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-StartAudienceExportJob,StartAudienceExportJob,,Inference,us-east-1,AWS Clean Rooms
8BRRHJZUF67CE7R5,JRTCKXETXF,8BRRHJZUF67CE7R5.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,7.2580000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_R5_24XLARGE,CreateTrainedModel,,Training-ML_R5_24XLARGE,us-east-1,AWS Clean Rooms
8BXENRB3VYXXK3JU,JRTCKXETXF,8BXENRB3VYXXK3JU.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.1150000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M6I_LARGE,CreateTrainedModel,,Training-ML_M6I_LARGE,us-east-1,AWS Clean Rooms
8MSTVEGTEV8KBBEJ,JRTCKXETXF,8MSTVEGTEV8KBBEJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.4780000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C4_2XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C4_2XLARGE,us-east-1,AWS Clean Rooms
