SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName,Type
AZBSMGYBB8B4FAC7,JRTCKXETXF,AZBSMGYBB8B4FAC7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Supply Chain Data Lake,USE1-hours-OP in US East (N. Virginia),2025-04-01,0,Inf,hours,0.2800000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-InstanceHour,USE1-InstanceHour-OP,us-east-1,AWS Supply Chain,SCDL < 10GB Storage
FFFX9TJP6NFXDRN2,JRTCKXETXF,FFFX9TJP6NFXDRN2.JRTCKXETXF.JXGPBPHWFF,OnDemand,Sustainability,Tier 1,25-1000 Data Requests - $6.00 ea,2025-04-01,0,1000,Count,6.0000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SustainabilityDataRequest,USE1-SustainabilityDataRequestOP,us-east-1,AWS Supply Chain,Sustainability Data Requests
FFFX9TJP6NFXDRN2,JRTCKXETXF,FFFX9TJP6NFXDRN2.JRTCKXETXF.MUBTP6UPGZ,OnDemand,Sustainability,Tier 2,Over 1000 Data Requests - $3.00 ea,2025-04-01,1000,Inf,Count,3.0000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SustainabilityDataRequest,USE1-SustainabilityDataRequestOP,us-east-1,AWS Supply Chain,Sustainability Data Requests
J8H7E5YWTVX3FQK3,JRTCKXETXF,J8H7E5YWTVX3FQK3.JRTCKXETXF.DGNP37V5JW,OnDemand,Supply Chain Datalake,$0.00 up to 10GB - storage,2025-04-01,0,10,GB-month,0.0000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-StorageSize,USE1-StorageSize-OP,us-east-1,AWS Supply Chain,SCDL>10GBStorage
J8H7E5YWTVX3FQK3,JRTCKXETXF,J8H7E5YWTVX3FQK3.JRTCKXETXF.XCQWNNXBHR,OnDemand,Supply Chain Data Lake,$0.25/GB - storage,2025-04-01,10,Inf,GB-month,0.2500000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-StorageSize,USE1-StorageSize-OP,us-east-1,AWS Supply Chain,SCDL>10GBStorage
PEXNJ3JXDHQKES4W,JRTCKXETXF,PEXNJ3JXDHQKES4W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.28 per hours for hours:USE1-hours-OP in US East (N. Virginia),2025-04-01,0,Inf,hours,0.2800000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-hours,USE1-hours-OP,us-east-1,AWS Supply Chain,SCDL hourly,<10 GB storage
VHZ5NDUZJ5DSN8CT,JRTCKXETXF,VHZ5NDUZJ5DSN8CT.JRTCKXETXF.NADQ2ZJX8V,OnDemand,Supply Chain Insights,Tier 1,0-100K Product SKU Location Combinations - $0.40 ea,2025-04-01,0,100000,Count,0.4000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SiteProductCount,USE1-SiteProductCount-OP,us-east-1,AWS Supply Chain,SCI Product SKU Location Combinations
VHZ5NDUZJ5DSN8CT,JRTCKXETXF,VHZ5NDUZJ5DSN8CT.JRTCKXETXF.9H3PSG253F,OnDemand,Supply Chain Insights,Tier 2,Next 900K Product SKU Location Combinations - $0.13 ea,2025-04-01,100000,1000000,Count,0.1300000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SiteProductCount,USE1-SiteProductCount-OP,us-east-1,AWS Supply Chain,SCI Product SKU Location Combinations
VHZ5NDUZJ5DSN8CT,JRTCKXETXF,VHZ5NDUZJ5DSN8CT.JRTCKXETXF.VNJQCFJPS4,OnDemand,Supply Chain Insights,Tier 3,Over 1M Product SKU Location Combinations - $0.05 ea,2025-04-01,1000000,Inf,Count,0.0650000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SiteProductCount,USE1-SiteProductCount-OP,us-east-1,AWS Supply Chain,SCI Product SKU Location Combinations
YGRHZQGEQ4EQMP6U,JRTCKXETXF,YGRHZQGEQ4EQMP6U.JRTCKXETXF.NADQ2ZJX8V,OnDemand,Demand Planning,Tier 1,0-100K Product SKU Location Combinations - $0.30 ea,2025-04-01,0,100000,Count,0.3000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-ADPSiteProductCount,USE1-ADPSiteProductCount-OP,us-east-1,AWS Supply Chain,ADP Product SKU Location Combinations
YGRHZQGEQ4EQMP6U,JRTCKXETXF,YGRHZQGEQ4EQMP6U.JRTCKXETXF.9H3PSG253F,OnDemand,Demand Planning,Tier 2,Next 900K Product SKU Location Combinations - $0.10 ea,2025-04-01,100000,1000000,Count,0.1000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-ADPSiteProductCount,USE1-ADPSiteProductCount-OP,us-east-1,AWS Supply Chain,ADP Product SKU Location Combinations
YGRHZQGEQ4EQMP6U,JRTCKXETXF,YGRHZQGEQ4EQMP6U.JRTCKXETXF.VNJQCFJPS4,OnDemand,Demand Planning,Tier 3,Over 1M Product SKU Location Combinations - $0.035 ea,2025-04-01,1000000,Inf,Count,0.0350000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-ADPSiteProductCount,USE1-ADPSiteProductCount-OP,us-east-1,AWS Supply Chain,ADP Product SKU Location Combinations
Z5APNDQTGYFA4NJC,JRTCKXETXF,Z5APNDQTGYFA4NJC.JRTCKXETXF.NADQ2ZJX8V,OnDemand,Supply Planning,Tier 1,0-100K Component SKU Location Combinations - $0.30 ea,2025-04-01,0,100000,Count,0.3000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SPSiteProductCount,USE1-SPSiteProductCount-OP,us-east-1,AWS Supply Chain,Component SKU Location Combinations
Z5APNDQTGYFA4NJC,JRTCKXETXF,Z5APNDQTGYFA4NJC.JRTCKXETXF.FF8BMSDA2R,OnDemand,Supply Planning,Tier 2,Over 100K Component SKU Location Combinations - $0.10 ea,2025-04-01,100000,Inf,Count,0.1000000000,USD,AWS Supply Chain,AWSSupplyChain,US East (N. Virginia),AWS Region,USE1-SPSiteProductCount,USE1-SPSiteProductCount-OP,us-east-1,AWS Supply Chain,Component SKU Location Combinations
