SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Volume Type,Group,Group Description,usageType,operation,Region Code,serviceName
3ADXMU9RYGKRUA9W,JRTCKXETXF,3ADXMU9RYGKRUA9W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10000 per GB of data exported in US East (N. Virginia),2025-03-01,0,Inf,GB,0.1000000000,USD,,,,Amazon DynamoDB Export Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Export Size,,,USE1-ExportDataSize-Bytes,,us-east-1,Amazon DynamoDB
3W5BGZNA3M3V96PD,JRTCKXETXF,3W5BGZNA3M3V96PD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1000 per GB of incremental data exported in US East (N. Virginia),2025-03-01,0,Inf,GB,0.1000000000,USD,,,,Amazon DynamoDB Export Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Incremental Export,,,USE1-IncrementalExportDataSize-Bytes,,us-east-1,Amazon DynamoDB
3XWM5KJM296GT93W,JRTCKXETXF,3XWM5KJM296GT93W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.625 per million replicated write request units (N. Virginia),2025-03-01,0,Inf,ReplicatedWriteRequestUnits,0.0000006250,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReplicatedWriteUnits,DynamoDB PayPerRequest Replicated Write Request Units,ReplWriteRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
4PEFGG9BW5Z8Z57U,JRTCKXETXF,4PEFGG9BW5Z8Z57U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0008100 per hour for units of IA write capacity in US East (N. Virginia),2025-03-01,0,Inf,WriteCapacityUnit-Hrs,0.0008100000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnitsIA,DynamoDB Provisioned Write Units IA,IA-WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,JRTCKXETXF,4V475Q49DCKGXQZ2.JRTCKXETXF.HBHVWY47CM,OnDemand,$0.00 per hour for 25 units of read capacity for a month (free tier),2025-03-01,0,18600,ReadCapacityUnit-Hrs,0.0000000000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,JRTCKXETXF,4V475Q49DCKGXQZ2.JRTCKXETXF.E63J5HTPNN,OnDemand,$0.00013 per hour for units of read capacity beyond the free tier,2025-03-01,18600,Inf,ReadCapacityUnit-Hrs,0.0001300000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,VG8YD49WWM,4V475Q49DCKGXQZ2.VG8YD49WWM.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Read Capacity used this month,2025-03-12,0,Inf,ReadCapacityUnit-Hrs,0.0000160000,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,VG8YD49WWM,4V475Q49DCKGXQZ2.VG8YD49WWM.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,0.36,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,YTVHEVGPBZ,4V475Q49DCKGXQZ2.YTVHEVGPBZ.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Read Capacity used this month,2025-03-12,0,Inf,ReadCapacityUnit-Hrs,0.0000250000,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4V475Q49DCKGXQZ2,YTVHEVGPBZ,4V475Q49DCKGXQZ2.YTVHEVGPBZ.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,0.3,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB Provisioned Read Units,ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
4W4ZMC46EHE8XTTZ,JRTCKXETXF,4W4ZMC46EHE8XTTZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.125 per million read request units (N. Virginia),2025-03-01,0,Inf,ReadRequestUnits,0.0000001250,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnits,DynamoDB PayPerRequest Read Request Units,ReadRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
6NJM3K66JDV3SGNV,JRTCKXETXF,6NJM3K66JDV3SGNV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.78 per million replicated IA write request units in US East (N. Virginia),2025-03-01,0,Inf,ReplicatedWriteRequestUnits,0.0000007800,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReplicatedWriteUnitsIA,DynamoDB PayPerRequest Replicated Write Request Units IA,IA-ReplWriteRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
9HGBWJU6RANR5U7Y,JRTCKXETXF,9HGBWJU6RANR5U7Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10000 per million change data capture units for AWS Glue Elastic Views in US East (N. Virginia),2025-03-01,0,Inf,ChangeDataCaptureUnits,0.0000001000,USD,,,,,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ElasticViews,Change Data Capture Units for AWS Glue Elastic Views,USE1-ChangeDataCaptureUnits-ElasticViews,DelegatedOperations,us-east-1,Amazon DynamoDB
AKFBEQDKQJE2TU7K,JRTCKXETXF,AKFBEQDKQJE2TU7K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10000 per million change data capture units for Kinesis Data Streams in US East (N. Virginia),2025-03-01,0,Inf,ChangeDataCaptureUnits,0.0000001000,USD,,,,,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-Kinesis,Change Data Capture Units for Kinesis Data Streams,USE1-ChangeDataCaptureUnits-Kinesis,DelegatedOperations,us-east-1,Amazon DynamoDB
C7EPEWE3GFXXDMHR,JRTCKXETXF,C7EPEWE3GFXXDMHR.JRTCKXETXF.M9QGYPQ72M,OnDemand,$0.00 for 2.5 million DynamoDB Streams read request units for a month (free tier) (US East (N. Virginia)),2025-03-01,0,2500000,Requests,0.0000000000,USD,,,,API Request,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-StreamsReadRequests,DynamoDB Streams read request (GetRecords API),USE1-Streams-Requests,GetRecords,us-east-1,Amazon DynamoDB
C7EPEWE3GFXXDMHR,JRTCKXETXF,C7EPEWE3GFXXDMHR.JRTCKXETXF.AUKFMGQW43,OnDemand,$0.0000002 per DynamoDB Streams read request unit beyond free tier (US East (N. Virginia)),2025-03-01,2500000,Inf,Requests,0.0000002000,USD,,,,API Request,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-StreamsReadRequests,DynamoDB Streams read request (GetRecords API),USE1-Streams-Requests,GetRecords,us-east-1,Amazon DynamoDB
DUA7FNC8NKEMZ7AA,JRTCKXETXF,DUA7FNC8NKEMZ7AA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10000 per GB-Month of IA storage in US East (N. Virginia),2025-03-01,0,Inf,GB-Mo,0.1000000000,USD,,,,Database Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Indexed DataStore - IA,,,IA-TimedStorage-ByteHrs,,us-east-1,Amazon DynamoDB
EDC5UVDZNFN2S777,JRTCKXETXF,EDC5UVDZNFN2S777.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 per GB-Month of storage used for on-demand backup,2025-03-01,0,Inf,GB-Month,0.1000000000,USD,,,,Amazon DynamoDB On-Demand Backup Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - On-Demand Backup Storage,,,USE1-TimedBackupStorage-ByteHrs,,us-east-1,Amazon DynamoDB
F3E2EDSYC6ZNW7XP,JRTCKXETXF,F3E2EDSYC6ZNW7XP.JRTCKXETXF.G2A93NZ7DT,OnDemand,$0.00 per GB-Month of storage for first 25 free GB-Months,2025-03-01,0,25,GB-Mo,0.0000000000,USD,,,,Database Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Indexed DataStore,,,TimedStorage-ByteHrs,,us-east-1,Amazon DynamoDB
F3E2EDSYC6ZNW7XP,JRTCKXETXF,F3E2EDSYC6ZNW7XP.JRTCKXETXF.VYAP54KATQ,OnDemand,$0.25 per GB-Month of storage used beyond first 25 free GB-Months,2025-03-01,25,Inf,GB-Mo,0.2500000000,USD,,,,Database Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Indexed DataStore,,,TimedStorage-ByteHrs,,us-east-1,Amazon DynamoDB
FGXVD96DKJMUASY3,JRTCKXETXF,FGXVD96DKJMUASY3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.625 per million write request units (N. Virginia),2025-03-01,0,Inf,WriteRequestUnits,0.0000006250,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB PayPerRequest Write Request Units,WriteRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
MJVXP493BSJ5SKSQ,JRTCKXETXF,MJVXP493BSJ5SKSQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.78 per million IA write request units in US East (N. Virginia),2025-03-01,0,Inf,WriteRequestUnits,0.0000007800,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnitsIA,DynamoDB PayPerRequest Write Request Units IA,IA-WriteRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
MNQBR5JKF47TW9TE,JRTCKXETXF,MNQBR5JKF47TW9TE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00081 per hour for units of IA replicated write capacity in US East (N. Virginia),2025-03-01,0,Inf,ReplicatedWriteCapacityUnit-Hrs,0.0008100000,USD,,,,DDB-Operation-ReplicatedWrite,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReplicatedWriteUnitsIA,DynamoDB Provisioned Replicated Write Units IA,IA-ReplWriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
P7CSCRKZN8P5MR8C,JRTCKXETXF,P7CSCRKZN8P5MR8C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0001600 per hour for units of IA read capacity in US East (N. Virginia),2025-03-01,0,Inf,ReadCapacityUnit-Hrs,0.0001600000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnitsIA,DynamoDB Provisioned Read Units IA,IA-ReadCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
QM7WV2JADZJDV45W,JRTCKXETXF,QM7WV2JADZJDV45W.JRTCKXETXF.HBHVWY47CM,OnDemand,$0.00 per hour for 25 units of replicated write capacity for a month (free tier),2025-03-01,0,18600,ReplicatedWriteCapacityUnit-Hrs,0.0000000000,USD,,,,DDB-Operation-ReplicatedWrite,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReplicatedWriteUnits,DynamoDB Provisioned Replicated Write Units,ReplWriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
QM7WV2JADZJDV45W,JRTCKXETXF,QM7WV2JADZJDV45W.JRTCKXETXF.E63J5HTPNN,OnDemand,$0.00065 per hour for units of replicated write capacity beyond the free tier,2025-03-01,18600,Inf,ReplicatedWriteCapacityUnit-Hrs,0.0006500000,USD,,,,DDB-Operation-ReplicatedWrite,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReplicatedWriteUnits,DynamoDB Provisioned Replicated Write Units,ReplWriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,JRTCKXETXF,R6PXMNYCEDGZ2EYN.JRTCKXETXF.HBHVWY47CM,OnDemand,$0.00 per hour for 25 units of write capacity for a month (free tier),2025-03-01,0,18600,WriteCapacityUnit-Hrs,0.0000000000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,JRTCKXETXF,R6PXMNYCEDGZ2EYN.JRTCKXETXF.E63J5HTPNN,OnDemand,$0.00065 per hour for units of write capacity beyond the free tier,2025-03-01,18600,Inf,WriteCapacityUnit-Hrs,0.0006500000,USD,,,,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,VG8YD49WWM,R6PXMNYCEDGZ2EYN.VG8YD49WWM.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Write Capacity used this month,2025-03-12,0,Inf,WriteCapacityUnit-Hrs,0.0000810000,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,VG8YD49WWM,R6PXMNYCEDGZ2EYN.VG8YD49WWM.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,1.8,USD,3yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,YTVHEVGPBZ,R6PXMNYCEDGZ2EYN.YTVHEVGPBZ.6YS6EN2CT7,Reserved,Amazon DynamoDB,Reserved Write Capacity used this month,2025-03-12,0,Inf,WriteCapacityUnit-Hrs,0.0001280000,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
R6PXMNYCEDGZ2EYN,YTVHEVGPBZ,R6PXMNYCEDGZ2EYN.YTVHEVGPBZ.2TG2D8R56U,Reserved,Upfront Fee,2025-03-12,,,Quantity,1.5,USD,1yr,Heavy Utilization,standard,Provisioned IOPS,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-WriteUnits,DynamoDB Provisioned Write Units,WriteCapacityUnit-Hrs,CommittedThroughput,us-east-1,Amazon DynamoDB
TFXQN9PEG62G7A67,JRTCKXETXF,TFXQN9PEG62G7A67.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per GB-Month of storage used for DynamoDB PITR backup,2025-03-01,0,Inf,GB-Mo,0.2000000000,USD,,,,Database Storage,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Point-In-Time-Restore (PITR) Backup Storage,,,USE1-TimedPITRStorage-ByteHrs,,us-east-1,Amazon DynamoDB
V54YY5S4S3DECX7A,JRTCKXETXF,V54YY5S4S3DECX7A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1500 per GB for data import in US East (N. Virginia),2025-03-01,0,Inf,GB,0.1500000000,USD,,,,Amazon DynamoDB Import Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Import Size,,,USE1-ImportDataSize-Bytes,,us-east-1,Amazon DynamoDB
YR9NFVSXEN3QWYDU,JRTCKXETXF,YR9NFVSXEN3QWYDU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.155 per million IA read request units in US East (N. Virginia),2025-03-01,0,Inf,ReadRequestUnits,0.0000001550,USD,,,,Amazon DynamoDB PayPerRequest Throughput,AmazonDynamoDB,US East (N. Virginia),AWS Region,,DDB-ReadUnitsIA,DynamoDB PayPerRequest Read Request Units IA,IA-ReadRequestUnits,PayPerRequestThroughput,us-east-1,Amazon DynamoDB
Z79SYD7KXFPZZ9SF,JRTCKXETXF,Z79SYD7KXFPZZ9SF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.15 per GB of data restored,2025-03-01,0,Inf,GB,0.1500000000,USD,,,,Amazon DynamoDB Restore Data Size,AmazonDynamoDB,US East (N. Virginia),AWS Region,Amazon DynamoDB - Backup Restore Size,,,USE1-RestoreDataSize-Bytes,,us-east-1,Amazon DynamoDB
