SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Current generation,Deployment option,usageType,operation,Cache Type,File cache type,File system type,Region Code,Request type,serviceName,Storage tier,Storage type,Throughput capacity
22C6NU45ED6TZA9T,JRTCKXETXF,22C6NU45ED6TZA9T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.130 per GB-Month of provisioned Windows File Server storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1300000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-Storage,CreateFileSystem:Windows,N/A,,Windows,us-east-1,,Amazon FSx,N/A,SSD,N/A
22QXZGRUC46HK9XV,JRTCKXETXF,22QXZGRUC46HK9XV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00040 per 1,000 read requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Requests.SAZ_2N:CPoolStdRd,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Read,Amazon FSx,,,
2JBXX2HUCR2N9CN2,JRTCKXETXF,2JBXX2HUCR2N9CN2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.025 per GB-Month of persistent HDD Lustre storage with 12 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.12,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,12
2K2PVNVMAB6NC9UP,JRTCKXETXF,2K2PVNVMAB6NC9UP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.340 per GB-Month of persistent SSD Lustre storage with 500 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.3400000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.SSD.500,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,500
3ATMX2THG9YVHAJ6,JRTCKXETXF,3ATMX2THG9YVHAJ6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.083 per GB-Month of persistent HDD Lustre storage with 40 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0830000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.40,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,40
3EWWMVR8KUSHQTSG,JRTCKXETXF,3EWWMVR8KUSHQTSG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0004 per 1,000 read requests to OpenZFS Intelligent-Tiering storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:INT_Read,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,Read,Amazon FSx,,,N/A
3RBQY994P2V2P7F4,JRTCKXETXF,3RBQY994P2V2P7F4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of OpenZFS Multi-AZ Backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-BackupUsage.MAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
4J3942Y6B6JABX4Z,JRTCKXETXF,4J3942Y6B6JABX4Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.500 per MB-per-second-Month of provisioned Multi-AZ Windows File Server throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,4.5000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ThroughputCapacity.MultiAZ,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
4Z8DEN65X89AAWCM,JRTCKXETXF,4Z8DEN65X89AAWCM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.006 per IOPS-Month for provisioned OpenZFS Single-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0060000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2,USE1-ProvisionedSSDIOPS.SAZ2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
5B2VYQKCG82UNAKV,JRTCKXETXF,5B2VYQKCG82UNAKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0340 per IOPS-Month of provisioned ONTAP Multi-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0340000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ProvisionedSSDIOPS.MAZ,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
5YTYQR3YQVNXTEPK,JRTCKXETXF,5YTYQR3YQVNXTEPK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.025 per GB-Month of provisioned Windows File Server Multi-AZ HDD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MultiAZ:HDD,CreateFileSystem:Windows,N/A,,Windows,us-east-1,,Amazon FSx,N/A,HDD,N/A
62TQNJKM9Y5GSQJQ,JRTCKXETXF,62TQNJKM9Y5GSQJQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per IOPS-Month of OpenZFS Multi-AZ Provisioned SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0240000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ProvisionedSSDIOPS.MAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
6QB6UXGS98T8AHHJ,JRTCKXETXF,6QB6UXGS98T8AHHJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of Windows File Server backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-BackupUsage,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
76AFPUSTR667RJZ4,JRTCKXETXF,76AFPUSTR667RJZ4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.33 per GB-Month of File Cache Lustre storage with 1000 MB/s/TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,1.3300000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,,USE1-Storage.1000,CreateFileCache:Lustre,,Lustre,,us-east-1,,Amazon FSx,,,1000
79FV3VMXMRD7XX5M,JRTCKXETXF,79FV3VMXMRD7XX5M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.210 per GB-Month of persistent SSD Lustre storage with 250 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2100000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.SSD.250,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,250
7BCUWZN7JRJAUQAC,JRTCKXETXF,7BCUWZN7JRJAUQAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.140 per GB-Month of provisioned persistent Lustre storage with 50 MB/s per TB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1400000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,No,Persistent,USE1-Storage.SSD.50,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,50
7MNKJJ33XGRY7JFB,JRTCKXETXF,7MNKJJ33XGRY7JFB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.006 per IOPS-Month for provisioned OpenZFS Single-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0060000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-ProvisionedSSDIOPS.SAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
7P443AXE7TV5TME7,JRTCKXETXF,7P443AXE7TV5TME7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per IOPS-Month for provisioned OpenZFS Single-AZ (HA) SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0120000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA_2,USE1-ProvisionedSSDIOPS.SAZ_HA2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
7Z67S7SXJMS6RJGU,JRTCKXETXF,7Z67S7SXJMS6RJGU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.230 per GB-Month of provisioned Windows File Server Multi-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2300000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MultiAZ:SSD,CreateFileSystem:Windows,N/A,,Windows,us-east-1,,Amazon FSx,N/A,SSD,N/A
8TYDU8XPGGYA7FNZ,JRTCKXETXF,8TYDU8XPGGYA7FNZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.099 per GB-Month of persistent HDD Lustre storage with 40 MB/s per TiB with SSD cache - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0990000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.40.RC20,CreateFileSystem:Lustre,RC20,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,40
934XZU4UVX66PPK5,JRTCKXETXF,934XZU4UVX66PPK5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0050 per 1,000 write requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000050000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Requests.SAZ_2N:CPoolStdWr,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Write,Amazon FSx,,,
9XZUN2N3RZKJVVYZ,JRTCKXETXF,9XZUN2N3RZKJVVYZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0219 per GB-Month of ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0219000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Storage.SAZ_2N:CPoolStd,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,Capacity pool - Standard,N/A
AGG5QG9S3KC7D85E,JRTCKXETXF,AGG5QG9S3KC7D85E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.26 per MBps-Month for provisioned Single-AZ OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.2600000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-ThroughputCapacity.SAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
BA598296EGRVKPGU,JRTCKXETXF,BA598296EGRVKPGU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.720 per MBps-Month of provisioned ONTAP Single-AZ throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.7200000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-ThroughputCapacity.SAZ_2N,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
BQB5JCA6KYX2XFMW,JRTCKXETXF,BQB5JCA6KYX2XFMW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.055 per IOPS-Month of provisioned Lustre Metadata IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0550000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Persistent,USE1-MetadataIOPS,CreateFileSystem:Lustre,,,Lustre,us-east-1,,Amazon FSx,,,
C2FMGQHTZJR3W7RG,JRTCKXETXF,C2FMGQHTZJR3W7RG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0170 per IOPS-Month of provisioned ONTAP Single-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0170000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-ProvisionedSSDIOPS.SAZ_2N,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
CGQJXWWN56XTVZJC,JRTCKXETXF,CGQJXWWN56XTVZJC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0438 per GB-Month of ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0438000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:CPoolStd,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,Capacity pool - Standard,N/A
CMU9RBYV27A8G66T,JRTCKXETXF,CMU9RBYV27A8G66T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per GB-Month for provisioned OpenZFS Single-AZ (HA) SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA_2,USE1-Storage.SAZ_HA2:SSD,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,N/A,SSD,N/A
CVVTU6SNXDZG5B4B,JRTCKXETXF,CVVTU6SNXDZG5B4B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0040 per GB-Month of OpenZFS Intelligent-Tiering storage in the Archive Instant Access tier - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0040000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:INT_AIA,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,Archive Instant Access,INT,N/A
CWFT9WYREKCEDGZZ,JRTCKXETXF,CWFT9WYREKCEDGZZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0170 per IOPS-Month of provisioned ONTAP Single-AZ-2 SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0170000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N-2,USE1-ProvisionedSSDIOPS.SAZ_2N2,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
DQKVH4U3NQYVNZ6E,JRTCKXETXF,DQKVH4U3NQYVNZ6E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.18 per GB-Month of provisioned OpenZFS Multi-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1800000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:SSD,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,N/A,SSD,N/A
E3JHA6X39S3E8C7V,JRTCKXETXF,E3JHA6X39S3E8C7V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.125 per GB-Month of provisioned ONTAP Single-AZ-2 SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N-2,USE1-Storage.SAZ_2N2:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
E5FGFU8KYGKMRRVC,JRTCKXETXF,E5FGFU8KYGKMRRVC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per IOPS-Month for provisioned OpenZFS Single-AZ (HA) SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0120000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA,USE1-ProvisionedSSDIOPS.SAZ_HA,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
