SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Current generation,Deployment option,usageType,operation,Cache Type,File cache type,File system type,Region Code,Request type,serviceName,Storage tier,Storage type,Throughput capacity
EXMCN9J9SCNMCF36,JRTCKXETXF,EXMCN9J9SCNMCF36.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.20 per MB-per-second-Month of provisioned Windows File Server throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,2.2000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-ThroughputCapacity,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
GB9B5HC7TXVPTKWG,JRTCKXETXF,GB9B5HC7TXVPTKWG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per IOPS-Month of Windows File Server Single-AZ provisioned SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0120000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-ProvisionedSSDIOPS,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
GCPJXNZW9VC227MA,JRTCKXETXF,GCPJXNZW9VC227MA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.500 per MBps-Month of provisioned ONTAP Multi-AZ-2 throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,2.5000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ-2,USE1-ThroughputCapacity.MAZ2,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
GD8NVJZKGMVRJA7Y,JRTCKXETXF,GD8NVJZKGMVRJA7Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0230 per GB-Month of OpenZFS Intelligent-Tiering storage in the Frequent Access tier - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0230000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:INT_FA,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,Frequent Access,INT,N/A
H3YNRWQ2PK4XN4BV,JRTCKXETXF,H3YNRWQ2PK4XN4BV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per GB-Month for provisioned OpenZFS Single-AZ (HA) SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA,USE1-Storage.SAZ_HA:SSD,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,N/A,SSD,N/A
H93HK9S7EX88XPSG,JRTCKXETXF,H93HK9S7EX88XPSG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of Multi-AZ Windows File Server backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-BackupUsage.MultiAZ,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
K73GPYK2STUVHART,JRTCKXETXF,K73GPYK2STUVHART.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.600 per MBps-Month of provisioned ONTAP Single-AZ-2 throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,1.6000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N-2,USE1-ThroughputCapacity.SAZ_2N2,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
MS2APTU447246QGT,JRTCKXETXF,MS2APTU447246QGT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.290 per GB-Month of provisioned persistent Lustre storage with 200 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,No,Persistent,USE1-Storage.SSD.200,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,200
N7NG4GCNBWDYRWR3,JRTCKXETXF,N7NG4GCNBWDYRWR3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month of OpenZFS Intelligent-Tiering storage in the Infrequent Access tier - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0125000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:INT_IA,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,Infrequent Access,INT,N/A
NBVNX9DNZ5P2CX4F,JRTCKXETXF,NBVNX9DNZ5P2CX4F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00040 per 1,000 read requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:CPoolStdRd,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Read,Amazon FSx,,,
NEQFBB7RR8GSD2VB,JRTCKXETXF,NEQFBB7RR8GSD2VB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.52 per MBps-Month for provisioned Single-AZ (HA) OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.5200000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA_2,USE1-ThroughputCapacity.SAZ_HA2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
NXJD8KBTG7YXFF7F,JRTCKXETXF,NXJD8KBTG7YXFF7F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.250 per GB-Month of provisioned ONTAP Multi-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
PDUXG84BSR7J6HU9,JRTCKXETXF,PDUXG84BSR7J6HU9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.190 per GB-Month of provisioned persistent Lustre storage with 100 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,No,Persistent,USE1-Storage.SSD.100,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,100
PHVZ44MVC6KSTAB3,JRTCKXETXF,PHVZ44MVC6KSTAB3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0050 per 1,000 write requests to OpenZFS Intelligent-Tiering storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000050000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:INT_Write,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,Write,Amazon FSx,,,N/A
QCV7AHXZXX9UKQJ2,JRTCKXETXF,QCV7AHXZXX9UKQJ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.200 per MBps-Month of provisioned ONTAP Multi-AZ throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,1.2000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ThroughputCapacity.MAZ,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
QPFC9SWZVYSK25J4,JRTCKXETXF,QPFC9SWZVYSK25J4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month for OpenZFS backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,N/A,USE1-BackupUsage,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
R7VCKBN9NJXDZVS2,JRTCKXETXF,R7VCKBN9NJXDZVS2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.125 per GB-Month of provisioned ONTAP Single-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Storage.SAZ_2N:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
R8RSJK5X2HX72T26,JRTCKXETXF,R8RSJK5X2HX72T26.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.26 per MBps-Month for provisioned Single-AZ OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.2600000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2,USE1-ThroughputCapacity.SAZ2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
RG4Q72WKSZ9AK32M,JRTCKXETXF,RG4Q72WKSZ9AK32M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of FSx for Lustre backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Persistent,USE1-BackupUsage,CreateFileSystem:Lustre,,,Lustre,us-east-1,,Amazon FSx,,,
RT9UV72JS82TBK8H,JRTCKXETXF,RT9UV72JS82TBK8H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.050 per GB-Month of ONTAP backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,N/A,USE1-BackupUsage,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
S4HKZZ4TUQK63DK8,JRTCKXETXF,S4HKZZ4TUQK63DK8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0050 per 1,000 write requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000050000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:CPoolStdWr,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Write,Amazon FSx,,,
UG7C4K4TRM68R2UH,JRTCKXETXF,UG7C4K4TRM68R2UH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.013 per GB-Month of provisioned Windows File Server Single-AZ HDD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0130000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-Storage:HDD,CreateFileSystem:Windows,N/A,,Windows,us-east-1,,Amazon FSx,N/A,HDD,N/A
UKNG9T36WPKDA96X,JRTCKXETXF,UKNG9T36WPKDA96X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0006 per GB-Month of OpenZFS Intelligent-Tiering storage for monitoring and automation - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0006000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:INT_Monitoring,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,Monitoring,INT,N/A
UMGNCB47PPE2Q49R,JRTCKXETXF,UMGNCB47PPE2Q49R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.250 per GB-Month of provisioned ONTAP Multi-AZ-2 SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.2500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ-2,USE1-Storage.MAZ2:SSD,CreateFileSystem:ONTAP,N/A,,ONTAP,us-east-1,,Amazon FSx,N/A,SSD,N/A
V3GGY5D9SSB2RNZD,JRTCKXETXF,V3GGY5D9SSB2RNZD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per GB-Month for provisioned OpenZFS Single-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-Storage.SAZ:SSD,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,N/A,SSD,N/A
VD8X9XDVSXVJG349,JRTCKXETXF,VD8X9XDVSXVJG349.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.52 per MBps-Month for provisioned Single-AZ (HA) OpenZFS throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.5200000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_HA,USE1-ThroughputCapacity.SAZ_HA,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
VUP9T5TT7S4R7382,JRTCKXETXF,VUP9T5TT7S4R7382.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1800 per GB-Month of OpenZFS Intelligent-Tiering Multi-AZ provisioned SSD read cache - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1800000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Storage.MAZ:INT_SSDCache,CreateFileSystem:OpenZFS,SSD,,OpenZFS,us-east-1,,Amazon FSx,SSD cache,INT,N/A
W4FWDRTGMWYSZAJZ,JRTCKXETXF,W4FWDRTGMWYSZAJZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.87 per MBps-Month of OpenZFS Multi-AZ Provisioned throughput - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,0.8700000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ThroughputCapacity.MAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
WFHJCNM7MYWA5KAB,JRTCKXETXF,WFHJCNM7MYWA5KAB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0340 per IOPS-Month of provisioned ONTAP Multi-AZ-2 SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0340000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ-2,USE1-ProvisionedSSDIOPS.MAZ2,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
X5KT8JHPYQQEZNXD,JRTCKXETXF,X5KT8JHPYQQEZNXD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.140 per GB-Month of provisioned Lustre storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1400000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-Storage,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,N/A
XR3B3U5VPPZ6E6YW,JRTCKXETXF,XR3B3U5VPPZ6E6YW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.041 per GB-Month of persistent HDD Lustre storage with 12 MB/s per TiB with SSD cache - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0410000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.12.RC20,CreateFileSystem:Lustre,RC20,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,12
Y58EC7UAHYBP4BBY,JRTCKXETXF,Y58EC7UAHYBP4BBY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.600 per GB-Month of persistent SSD Lustre storage with 1000 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.6000000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.SSD.1000,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,1000
ZFVNMK5HNC6PBZTM,JRTCKXETXF,ZFVNMK5HNC6PBZTM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.145 per GB-Month of persistent SSD Lustre storage with 125 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1450000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.SSD.125,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,125
ZSDAAQSMDYNUKUS9,JRTCKXETXF,ZSDAAQSMDYNUKUS9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.024 per IOPS-Month of Windows File Server Multi-AZ provisioned SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0240000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ProvisionedSSDIOPS.MultiAZ,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
ZXUFDJQU3RZG25WX,JRTCKXETXF,ZXUFDJQU3RZG25WX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per GB-Month for provisioned OpenZFS Single-AZ SSD storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0900000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2,USE1-Storage.SAZ2:SSD,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,,Amazon FSx,N/A,SSD,N/A
