SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,serviceCode,Location,Location Type,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,usageType,operation,Region Code,serviceName
2B8ZACNN7SPBKWVF,JRTCKXETXF,2B8ZACNN7SPBKWVF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0025 per GB Bulk retrieval fee from Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,GB,0.0025000000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,S3-Bulk-Retrieval,Fee for Bulk Retrieval of data stored from Glacier Deep Archive,,,Bulk-Retrieval-Bytes,DeepArchiveRestoreObject,us-east-1,Amazon S3 Glacier Deep Archive
2CWWFYV96GBD6VUJ,JRTCKXETXF,2CWWFYV96GBD6VUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per 1,000 UploadPart requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000050000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Upload part to Glacier Deep Archive,Requests-GDA-Tier1,UploadPart,us-east-1,Amazon S3 Glacier Deep Archive
4F9PAAFX7KA47MVJ,JRTCKXETXF,4F9PAAFX7KA47MVJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 PutObject requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,PUT to Glacier Deep Archive,Requests-GDA-Tier1,PutObject,us-east-1,Amazon S3 Glacier Deep Archive
7BP282GS3BVPCTGS,JRTCKXETXF,7BP282GS3BVPCTGS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per 1,000 CopyPart requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000050000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Copy part to Glacier Deep Archive,Requests-GDA-Tier1,CopyPart,us-east-1,Amazon S3 Glacier Deep Archive
8ZYWU9F4Z22T53BY,JRTCKXETXF,8ZYWU9F4Z22T53BY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00099 per GB-Month prorated for objects deleted before 180 days in Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.0009900000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,S3:EarlyDelete-GDA,Pro-rated fee for objects deleted before 180 days in Glacier Deep Archive volume,,,EarlyDelete-GDA,,us-east-1,Amazon S3 Glacier Deep Archive
9VTAQQJS2T8RJC73,JRTCKXETXF,9VTAQQJS2T8RJC73.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 PostObject requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,POST to Glacier Deep Archive,Requests-GDA-Tier1,PostObject,us-east-1,Amazon S3 Glacier Deep Archive
CGUXUEMDW5A4R5CC,JRTCKXETXF,CGUXUEMDW5A4R5CC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 CompleteMultipartUpload requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Complete Multipart Upload to Glacier Deep Archive,Requests-GDA-Tier1,CompleteMultipartUpload,us-east-1,Amazon S3 Glacier Deep Archive
CUNH95PFHJJCKVR5,JRTCKXETXF,CUNH95PFHJJCKVR5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 CopyObject requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,COPY Object to Glacier Deep Archive,Requests-GDA-Tier1,CopyObject,us-east-1,Amazon S3 Glacier Deep Archive
EQ2HJHQR2HBHM5U8,JRTCKXETXF,EQ2HJHQR2HBHM5U8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per 1,000 InitiateMultipartUpload requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000050000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Initiate Multipart Upload to Glacier Deep Archive,Requests-GDA-Tier1,InitiateMultipartUpload,us-east-1,Amazon S3 Glacier Deep Archive
ETJRQA9TVAKMKT3G,JRTCKXETXF,ETJRQA9TVAKMKT3G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 PutObjectForRepl requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,PUT for replication to Glacier Deep Archive,Requests-GDA-Tier1,PutObjectForRepl,us-east-1,Amazon S3 Glacier Deep Archive
EU3ENN5PWJU7GGBU,JRTCKXETXF,EU3ENN5PWJU7GGBU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per 1,000 UploadPartForRepl requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000050000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Upload part for replication to Glacier Deep Archive,Requests-GDA-Tier1,UploadPartForRepl,us-east-1,Amazon S3 Glacier Deep Archive
JKJJ28K7NEVPDS24,JRTCKXETXF,JKJJ28K7NEVPDS24.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.025 per 1,000 Bulk requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000250000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-Tier5,Glacier Deep Archive Bulk Restore Requests,Requests-GDA-Tier5,,us-east-1,Amazon S3 Glacier Deep Archive
PAQWRT888JMZE37W,JRTCKXETXF,PAQWRT888JMZE37W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 CompleteMultipartUploadForRepl requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Complete Multipart Upload for repl to Glacier Deep Archive,Requests-GDA-Tier1,CompleteMultipartUploadForRepl,us-east-1,Amazon S3 Glacier Deep Archive
SBYTEPUF7PY2UDK2,JRTCKXETXF,SBYTEPUF7PY2UDK2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 per 1,000 Standard requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0001000000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier3,GDA Standard Restore Requests,Requests-GDA-Tier3,,us-east-1,Amazon S3 Glacier Deep Archive
SKAKWE8C8SPXCVHA,JRTCKXETXF,SKAKWE8C8SPXCVHA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00099 per GB-Month for storage used in Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.0009900000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,Archive,Glacier Deep Archive,,,,,TimedStorage-GDA-ByteHrs,,us-east-1,Amazon S3 Glacier Deep Archive
VTKUMHFP3SKXS37Y,JRTCKXETXF,VTKUMHFP3SKXS37Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per 1,000 InitiateMultipartUploadForRepl requests in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000050000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-GDA-Tier1,Initiate Multipart Upload for replication to Glacier Deep Archive,Requests-GDA-Tier1,InitiateMultipartUploadForRepl,us-east-1,Amazon S3 Glacier Deep Archive
X3ZPM3MNWP6594U3,JRTCKXETXF,X3ZPM3MNWP6594U3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02 per GB Standard retrieval fee from Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,GB,0.0200000000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,S3-Standard-Retrieval,Fee for Standard Retrieval of data stored from Glacier Deep Archive,,,Standard-Retrieval-Bytes,DeepArchiveRestoreObject,us-east-1,Amazon S3 Glacier Deep Archive
XCCX33UM7XVT7XUE,JRTCKXETXF,XCCX33UM7XVT7XUE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 1,000 Lifecycle requests to Glacier Deep Archive in US East (N. Virginia),2025-04-01,0,Inf,Requests,0.0000500000,USD,AmazonS3GlacierDeepArchive,US East (N. Virginia),AWS Region,,,,,S3-API-Tier3,Lifecycle to Glacier Deep Archive,Requests-Tier3,S3-GDATransition,us-east-1,Amazon S3 Glacier Deep Archive
